questionnaire,id,question,context,answer,type,an_answers,special_handling,answers
5,d6b79f06-30ff-46b3-878f-6b2943df16e1,What are your product interests?,We are interested in VisitReport and Data Cleansing capabilities.,"VisitReport, Data Cleansing, DataQuality",MULTI_SELECT,"['VisitReport', 'Data Cleansing']",,"[{'text': ['VisitReport', 'Data Cleansing'], 'answer_start': [21, 37]}]"
5,5b9779a4-f73a-40b3-8728-e929f7314211,What are your product interests?,We are interested in learning more about your Data Cleansing and Data Quality products.,"Data Cleansing, DataQuality",MULTI_SELECT,"['Data Cleansing', 'Data Quality']",,"[{'text': ['Data Cleansing', 'Data Quality'], 'answer_start': [46, 65]}]"
5,c563a8c7-9cfa-48ca-b553-75cb30c3e8de,What are your product interests?,We are primarily interested in your DataQuality product.,DataQuality,MULTI_SELECT,['DataQuality'],,"[{'text': ['DataQuality'], 'answer_start': [36]}]"
5,938ec9af-8740-4642-a624-bc751175908d,What problem are you looking to solve?,We need a solution to clean up our CRM data and improve its overall quality.,"Scan business cards, Clean up CRM, Extract data from emails, Improve CRM data quality, Capture trade fair contacts",MULTI_SELECT,"['clean up CRM', 'improve its overall quality']",,"[{'text': ['improve its overall quality'], 'answer_start': [48]}]"
5,649864a5-d348-40d1-9133-67e48ee4b2c7,What problem are you looking to solve?,We're looking to improve CRM data quality and capture trade fair contacts more efficiently.,"Clean up CRM, Extract data from emails, Improve CRM data quality, Capture trade fair contacts",MULTI_SELECT,"['improve CRM data quality', 'capture trade fair contacts']",,"[{'text': ['improve CRM data quality', 'capture trade fair contacts'], 'answer_start': [17, 46]}]"
5,dafba3a0-9c09-4ad3-95fe-d78645fe2639,What problem are you looking to solve?,Our main concern is improving CRM data quality and efficiently capturing trade fair contacts.,"Extract data from emails, Improve CRM data quality, Capture trade fair contacts",MULTI_SELECT,"['improving CRM data quality', 'capture trade fair contacts']",,"[{'text': ['improving CRM data quality'], 'answer_start': [20]}]"
5,ffe96cfc-788c-4993-baa6-026edc01585b,What problem are you looking to solve?,We need to improve our CRM data quality and have a better system for capturing trade fair contacts.,"Improve CRM data quality, Capture trade fair contacts",MULTI_SELECT,"['improve our CRM data quality', 'capturing trade fair contacts']",,"[{'text': ['improve our CRM data quality', 'capturing trade fair contacts'], 'answer_start': [11, 69]}]"
5,e399f29b-0233-4939-ab09-9c08bd09150c,What problem are you looking to solve?,We need a better way to capture trade fair contacts.,Capture trade fair contacts,MULTI_SELECT,['capture trade fair contacts'],,"[{'text': ['capture trade fair contacts'], 'answer_start': [24]}]"
5,603910cb-2c4c-4911-9f9b-c85ada7ccb99,What are the next steps?,The next step is to receive your offer.,Offer,SINGLE_SELECT,['offer'],,"[{'text': ['offer'], 'answer_start': [33]}]"
5,b46d3f53-bcd5-4b81-976d-4f4a27d1a7b3,What are the next steps?,The next step would be a meeting to discuss this further.,Meeting,SINGLE_SELECT,['meeting'],,"[{'text': ['meeting'], 'answer_start': [25]}]"
5,a42139dc-ccf6-4a95-85ef-9b0b6035e60a,What are the next steps?,We'd like to schedule a call to discuss next steps.,Call,SINGLE_SELECT,['call'],,"[{'text': ['call'], 'answer_start': [24]}]"
