question,context,option,type,answer_length,answers_s3auf_mdeberta-v3-squad2-ft-busiQA-3ep,score_s3auf_mdeberta-v3-squad2-ft-busiQA-3ep,answers_s3auf/bert-finetuned-busiQA,score_s3auf/bert-finetuned-busiQA,answers_timpal0l/mdeberta-v3-base-squad2,score_timpal0l/mdeberta-v3-base-squad2,ranked_answer,ranked_score
What is the expected delivery date for order #12345?,"The expected delivery date for order #12345 is 08-11-2024. We're aiming to get that to you as quickly as possible.
",Date,DATE,long_answer,"{'answer': ' 08-11-2024.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990599751472473, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '12345 is 08-11-2024', 'answer_start': 38, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.1879199892282486, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 08-11-2024.', 'answer_start': 46, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.995581865310669, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 08-11-2024.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990599751472473
When did the warranty period for product X begin?,"The warranty period for product X began on 10-07-2024, the date of purchase.
",Date,DATE,long_answer,"{'answer': ' 10-07-2024,', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9984188079833984, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '10-07-2024', 'answer_start': 43, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.28275546431541443, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 10-07-2024,', 'answer_start': 42, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9819052815437317, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 10-07-2024,', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9984188079833984
What is the proposed start date for the new project?,"The proposed start date for the new project is 01-03-2025.  We're currently finalizing the project plan and securing resources before the official kickoff.
",Date,DATE,long_answer,"{'answer': ' 01-03-2025.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9984206557273865, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '01-03-2025', 'answer_start': 47, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.2618129849433899, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 01-03-2025.', 'answer_start': 46, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9964795112609863, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 01-03-2025.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9984206557273865
When was the last security audit performed?,"The last security audit was performed on 15-09-2024.  We conduct these audits on a semi-annual basis to ensure the ongoing security of our systems.
",Date,DATE,long_answer,"{'answer': ' 15-09-2024.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9988387823104858, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '15-09-2024', 'answer_start': 41, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.21079157292842865, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15-09-2024.', 'answer_start': 40, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9944220781326294, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15-09-2024.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9988387823104858
What is the date of the next board meeting?,"The date of the next board meeting is 28-11-2024.  We'll be discussing Q4 performance and the upcoming budget at that time.
",Date,DATE,long_answer,"{'answer': ' 28-11-2024.', 'answer_start': 37, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9962801337242126, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '28-11-2024', 'answer_start': 38, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5877406001091003, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 28-11-2024.', 'answer_start': 37, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9943618774414062, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 28-11-2024.', 'answer_start': 37, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9962801337242126
When is the contract renewal date?,"The contract renewal date is 31-01-2025. We should begin discussions regarding renewal sometime in December.
",Date,DATE,long_answer,"{'answer': ' 31-01-2025.', 'answer_start': 28, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9907694458961487, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '31-01-2025', 'answer_start': 29, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.45610713958740234, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 31-01-2025.', 'answer_start': 28, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9949703216552734, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 31-01-2025.', 'answer_start': 28, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.9949703216552734
When is the payment due for invoice number ABC123XYZ?,"Payment for invoice number ABC123XYZ is due on 15-12-2024.  Please remit payment by this date to avoid any late fees.
",Date,DATE,long_answer,"{'answer': ' 15-12-2024.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.998925507068634, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'ABC123XYZ', 'answer_start': 27, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.17761094868183136, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15-12-2024.', 'answer_start': 46, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9930064678192139, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15-12-2024.', 'answer_start': 46, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.998925507068634
When is the company anniversary?,"Our company anniversary is on 05-04-2025. We're planning a small celebration to mark the occasion.
",Date,DATE,long_answer,"{'answer': ' 05-04-2025.', 'answer_start': 29, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9987424612045288, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '05-04-2025', 'answer_start': 30, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.2716729938983917, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 05-04-2025.', 'answer_start': 29, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.996087372303009, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 05-04-2025.', 'answer_start': 29, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9987424612045288
What date did the employee start their employment?,"The employee started their employment on 21-08-2023.  They've been a valuable member of the team ever since.
",Date,DATE,long_answer,"{'answer': ' 21-08-2023.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9989843964576721, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '21-08-2023', 'answer_start': 41, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3735370635986328, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 21-08-2023.', 'answer_start': 40, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9962961077690125, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 21-08-2023.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9989843964576721
When did the marketing campaign start?,"The marketing campaign started on 11-09-2024.  We've seen some promising early results.
",Date,DATE,long_answer,"{'answer': ' 11-09-2024.', 'answer_start': 33, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9986662864685059, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '11-09-2024', 'answer_start': 34, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3427373170852661, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 11-09-2024.', 'answer_start': 33, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9940473437309265, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 11-09-2024.', 'answer_start': 33, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9986662864685059
What is the expected completion date of the software development?,"The expected completion date of the software development is 31-01-2025.  This allows for a thorough testing phase before the official release.
",Date,DATE,long_answer,"{'answer': ' 31-01-2025.', 'answer_start': 59, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9993176460266113, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '31-01-2025', 'answer_start': 60, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.444391667842865, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 31-01-2025.', 'answer_start': 59, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9961056113243103, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 31-01-2025.', 'answer_start': 59, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9993176460266113
When is the next product demonstration scheduled?,"The next product demonstration is scheduled for 19-11-2024. We'll be showcasing the latest features and improvements to potential clients.
",Date,DATE,long_answer,"{'answer': ' 19-11-2024.', 'answer_start': 47, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9989387392997742, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '19-11-2024', 'answer_start': 48, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.7287579774856567, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 19-11-2024.', 'answer_start': 47, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9934554100036621, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 19-11-2024.', 'answer_start': 47, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9989387392997742
What is the target launch date for the new website?,"The target launch date for the new website is 05-12-2024. We're aiming for a smooth transition and minimal disruption to our online presence.
",Date,DATE,long_answer,"{'answer': ' 05-12-2024.', 'answer_start': 45, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990053772926331, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '05-12-2024', 'answer_start': 46, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4004533290863037, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 05-12-2024.', 'answer_start': 45, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.997067391872406, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 05-12-2024.', 'answer_start': 45, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990053772926331
When is the deadline for submitting the annual report?,"The deadline for submitting the annual report is 30-04-2025.  We need to ensure all the necessary data is compiled and reviewed before this date.
",Date,DATE,long_answer,"{'answer': ' 30-04-2025.', 'answer_start': 48, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9991615414619446, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '30-04-2025', 'answer_start': 49, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4565354883670807, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 30-04-2025.', 'answer_start': 48, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9952709674835205, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 30-04-2025.', 'answer_start': 48, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9991615414619446
When did the client sign the contract?,"The client signed the contract on 08-10-2024.  That's when the project officially commenced.
",Date,DATE,long_answer,"{'answer': ' 08-10-2024.', 'answer_start': 33, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9991263151168823, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '08-10-2024', 'answer_start': 34, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3902755081653595, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 08-10-2024.', 'answer_start': 33, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9932143092155457, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 08-10-2024.', 'answer_start': 33, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9991263151168823
When is the next budget review meeting?,"The next budget review meeting is scheduled for 20-12-2024.  We'll be discussing Q4 spending and projecting for the next year.
",Date,DATE,long_answer,"{'answer': ' 20-12-2024.', 'answer_start': 47, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9959871172904968, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '20-12-2024', 'answer_start': 48, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.28816235065460205, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 20-12-2024.', 'answer_start': 47, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9939382672309875, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 20-12-2024.', 'answer_start': 47, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9959871172904968
What is the final payment date for project Alpha?,"The final payment date for project Alpha is 10-02-2025.  This date is outlined in the project contract.
",Date,DATE,long_answer,"{'answer': ' 10-02-2025.', 'answer_start': 43, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9989532232284546, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '10-02-2025', 'answer_start': 44, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.49813002347946167, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 10-02-2025.', 'answer_start': 43, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9961538910865784, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 10-02-2025.', 'answer_start': 43, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9989532232284546
When is the company holiday party scheduled?,"The company holiday party is scheduled for 18-12-2024. We're all looking forward to celebrating the year's successes together.
",Date,DATE,long_answer,"{'answer': ' 18-12-2024.', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9988729953765869, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '18-12-2024', 'answer_start': 43, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4514543414115906, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 18-12-2024.', 'answer_start': 42, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9954158663749695, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 18-12-2024.', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9988729953765869
What is the date of the next training session?,"The next training session is scheduled for 27-11-2024.  It will cover the new software update and best practices.
",Date,DATE,long_answer,"{'answer': ' 27-11-2024.', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9966362714767456, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '27-11-2024', 'answer_start': 43, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6716465950012207, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 27-11-2024.', 'answer_start': 42, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9953874945640564, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 27-11-2024.', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9966362714767456
When is the next scheduled server backup?,"The next scheduled server backup is 03-11-2024.  We perform these backups weekly to ensure data security.
",Date,DATE,long_answer,"{'answer': ' 03-11-2024.', 'answer_start': 35, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9981023669242859, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '03-11-2024', 'answer_start': 36, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5765187740325928, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 03-11-2024.', 'answer_start': 35, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9965702891349792, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 03-11-2024.', 'answer_start': 35, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9981023669242859
What is the target completion date for the current sprint?,"The target completion date for the current sprint is 08-11-2024. We're working hard to meet this deadline.
",Date,DATE,long_answer,"{'answer': ' 08-11-2024.', 'answer_start': 52, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9987185001373291, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '08-11-2024', 'answer_start': 53, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.48303818702697754, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 08-11-2024.', 'answer_start': 52, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9967132806777954, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 08-11-2024.', 'answer_start': 52, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9987185001373291
When is the deadline for submitting expense reports?,"The deadline for submitting expense reports is the last day of each month, so for this month, it's 30-11-2024.  Please ensure all reports are submitted by then.
",Date,DATE,long_answer,"{'answer': ' 30-11-2024.', 'answer_start': 98, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.8512117862701416, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '30-11-2024', 'answer_start': 99, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4302930235862732, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 30-11-2024.', 'answer_start': 98, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.3932275176048279, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 30-11-2024.', 'answer_start': 98, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.8512117862701416
What date should the invoice be issued?,"The invoice should be issued on 12-11-2024.  This aligns with our standard invoicing procedures for this type of service.
",Date,DATE,long_answer,"{'answer': ' 12-11-2024.', 'answer_start': 31, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990273714065552, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '12-11-2024', 'answer_start': 32, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6364752054214478, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 12-11-2024.', 'answer_start': 31, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9934375286102295, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 12-11-2024.', 'answer_start': 31, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990273714065552
When is the next performance review scheduled for John Doe?,"The next performance review scheduled for John Doe is 15-01-2025.  This is in line with his annual review cycle.
",Date,DATE,long_answer,"{'answer': ' 15-01-2025.', 'answer_start': 53, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9987838864326477, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '15-01-2025', 'answer_start': 54, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3147701919078827, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15-01-2025.', 'answer_start': 53, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9970336556434631, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15-01-2025.', 'answer_start': 53, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9987838864326477
What is the projected launch date for the new mobile app?,"The projected launch date for the new mobile app is 28-02-2025.  This is subject to change depending on the completion of final testing and approvals.
",Date,DATE,long_answer,"{'answer': ' 28-02-2025.', 'answer_start': 51, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990497827529907, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '28-02-2025', 'answer_start': 52, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4819420576095581, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 28-02-2025.', 'answer_start': 51, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9973946213722229, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 28-02-2025.', 'answer_start': 51, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990497827529907
When is the final submission date for the grant proposal?,"The final submission date for the grant proposal is 15-12-2024.  We need to ensure everything is finalized and submitted well before the deadline.
",Date,DATE,long_answer,"{'answer': ' 15-12-2024.', 'answer_start': 51, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990396499633789, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '15-12-2024', 'answer_start': 52, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5478935241699219, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15-12-2024.', 'answer_start': 51, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9953458905220032, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15-12-2024.', 'answer_start': 51, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990396499633789
What is the date of the next company picnic?,"The next company picnic is scheduled for 26-05-2025. We're all looking forward to a fun day of team-building and relaxation!
",Date,DATE,long_answer,"{'answer': ' 26-05-2025.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.998405933380127, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '26-05-2025', 'answer_start': 41, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4966539740562439, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 26-05-2025.', 'answer_start': 40, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.996380090713501, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 26-05-2025.', 'answer_start': 40, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.998405933380127
When is the deadline for the project milestone?,"The deadline for this project milestone is 20-12-2024.  Meeting this deadline is crucial for staying on schedule for the overall project.
",Date,DATE,long_answer,"{'answer': ' 20-12-2024.', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9990444183349609, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '20-12-2024', 'answer_start': 43, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6322361826896667, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 20-12-2024.', 'answer_start': 42, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9963317513465881, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 20-12-2024.', 'answer_start': 42, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9990444183349609
What is the start date of the fiscal year?,"The start date of our fiscal year is 01-07-2024.  This is when our new budget year begins.
",Date,DATE,long_answer,"{'answer': ' 01-07-2024.', 'answer_start': 36, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9983844757080078, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '01-07-2024', 'answer_start': 37, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3469644784927368, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 01-07-2024.', 'answer_start': 36, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9953182935714722, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 01-07-2024.', 'answer_start': 36, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9983844757080078
When is the next team offsite scheduled?,"The next team offsite is scheduled for 18-03-2025. We're hoping to hold it at a nice retreat location for some team bonding.
",Date,DATE,long_answer,"{'answer': ' 18-03-2025.', 'answer_start': 38, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9989484548568726, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '18-03-2025', 'answer_start': 39, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5626720190048218, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 18-03-2025.', 'answer_start': 38, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9942880272865295, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 18-03-2025.', 'answer_start': 38, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9989484548568726
What is the due date for the Q3 sales report?,"The due date for the Q3 sales report is 15-10-2024.  We need this information to finalize the quarterly financial statements.
",Date,DATE,long_answer,"{'answer': ' 15-10-2024.', 'answer_start': 39, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9987489581108093, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '15-10-2024', 'answer_start': 40, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.5410335063934326, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15-10-2024.', 'answer_start': 39, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.99714595079422, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15-10-2024.', 'answer_start': 39, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9987489581108093
